Node,Latitude,Longitude,Height,Risk
6112485_10,47.3650009033743,8.51436461201209,476.587297817692,0.612364950721634
6112488_0,47.3651887449354,8.51542789828924,476.390733131208,0.102893410360286
6112488_1,47.3652661062505,8.51535710618679,476.698599712923,0.126540390817592
6112488_2,47.3655569503688,8.51507377104205,476.783115367405,0.286001935052804
6112488_3,47.3658915938408,8.51473120819678,476.683574674651,0.568372336415389
6112488_4,47.3662375542988,8.51439035210785,476.78200229723,0.708068460998736
6112488_5,47.3663635254266,8.51426632005119,476.767793789506,0.687804073365895
6112489_0,47.3668800719731,8.51457971430783,480.227113165893,0.280095090837256
6112489_1,47.3668471463783,8.5145404296887,479.838239684701,0.289937405161023
6112489_2,47.36680318674,8.51449501766652,479.41240153648,0.316062261481682
6112489_3,47.3667381995079,8.51443283054339,478.732635841705,0.369653347592719
6112489_4,47.3665692001868,8.51427502077444,477.481241214089,0.523885910606574
6112489_5,47.366490217523,8.51419917998855,477.142526228912,0.608707477327724
6112489_6,47.366462273796,8.51417068084027,477.064628742635,0.62481169737639
6112501_1,47.366439509333,8.51414239204185,477.029717349447,0.648867649397488
6245806_1,47.365714855423,8.51428865969766,476.236486481503,0.929246454280454
6245810_1,47.3650700743901,8.51517263053342,476.701303306036,0.153308857495287
6265694_1,47.3663829986786,8.51424713110124,477.077761573717,0.684242708804749
4857460_0,47.3668294138473,8.51536112831238,484.436462211423,0.223779078739489
4857460_1,47.366991682613,8.51526788402751,484.269126796164,0.231918285290451
4857460_2,47.3671783184222,8.51515733633748,484.079744322225,0.236229786191286
4857460_3,47.3672584389123,8.51510995179606,484.208580054343,0.225049917743064
4858801_0,47.366107012441,8.51578589576454,485.159945637919,0.0869678480498067
4858801_1,47.3663963432029,8.51691279670911,485.370048460551,0.04772133152531
4864603_1,47.3671349737386,8.51493671877026,482.977080542594,0.210733342546385
4864603_2,47.3669946291096,8.51473494512372,481.406654327177,0.228213366552303
4864603_3,47.366925916875,8.51464001961092,480.664931368083,0.247796966349171
4866176_0,47.3671223560097,8.5165072998971,484.279536149465,0.213408788239422
4866176_1,47.3670933338213,8.5163745529518,484.103746258654,0.234736691302569
4866176_2,47.3669686915985,8.5158954532938,484.416557162069,0.260385077907915
4869777_1,47.3670009527193,8.51442274368489,480.360951185226,0.252792604209921
4869777_2,47.3672046678651,8.5141683147403,479.924668037333,0.18345948759273
6112587_0,47.3657224590546,8.51605907571155,482.663687958382,0.0468517428874402
6112587_1,47.3658078301192,8.51599562122223,483.339525991119,0.0516273322366911
6112587_2,47.3659676368959,8.51587611682853,484.388223516755,0.0695096680807158
6112684_0,47.36797194869,8.51434317946477,483.453463394195,0.0745466720391439
6112684_1,47.3680154781776,8.51443096541325,484.265260109678,0.0828053738094507
6112684_2,47.3680586501587,8.51453009106526,484.870046379045,0.0934794172839317
6112684_3,47.368061919411,8.51456349571667,485.139004183933,0.0957416450370988
6112684_4,47.3680580299112,8.51459674272876,485.147981077433,0.0978849562763541
6112684_5,47.3680398495399,8.51462972804713,485.271996024065,0.101435639423359
6112684_6,47.3679782137296,8.5147197095985,485.512068644166,0.118200885985962
6112684_7,47.3679116820919,8.51482540083494,485.452138428576,0.144167706323236
6112684_8,47.3678570652469,8.51492955797856,485.403178242967,0.170377687897307
6112684_9,47.367775702267,8.51509107416358,485.170231167227,0.210567231587701
6112684_10,47.3677222647712,8.51519702871884,485.012266051024,0.239253834245782
6112684_11,47.3676920209764,8.51524553907429,484.824297301471,0.246174782531973
6112684_12,47.3676363543308,8.5153339051959,484.208355743438,0.273310527624027
6112684_13,47.3675291041258,8.5154904224229,483.380482131615,0.301271777235071
6112685_1,47.3674171383052,8.51493824003537,484.010332875885,0.194043223299597
6112685_2,47.3675640145642,8.51478330224442,483.889100102708,0.159471678486141
6112685_3,47.36777954416,8.51455078425681,483.794763692655,0.107142188571825
6112686_0,47.367864745483,8.51607686024563,481.092005434446,0.304579547826669
6112686_1,47.3677797228963,8.51589253648723,481.679415444843,0.322647383210923
6112686_2,47.3677361147492,8.51580850855917,481.951615175232,0.32444099093481
6112686_3,47.3677033921073,8.51574846639543,482.236762023531,0.323028637633421
6112686_4,47.3676576725263,8.51567478953452,482.611956941895,0.3250958970133
6112686_5,47.3675939928389,8.51558144634335,482.964219104499,0.315783728274358
6112687_1,47.3674296932036,8.5153509719005,484.017885092646,0.276049854822659
6112690_1,47.3681275166789,8.51417531909702,483.177220578305,0.0729784504787551
4866239_2,47.3701021014022,8.51410123766867,467.786072619259,1.87757870215986
4866239_3,47.3702022543416,8.51423359748166,466.866674781777,1.88573372928678
4866239_4,47.3702348638497,8.51425947833872,466.691562536173,1.88248408162633
4866239_5,47.3702748415529,8.51426203203636,466.594454231672,1.89922981651372
6112635_0,47.3681725936848,8.51665596457287,476.26160953939,0.266825724219147
6112635_1,47.3681383047128,8.51659610163122,476.846760360524,0.26245032471303
6112635_2,47.3679686418712,8.51629277260861,479.752513774671,0.278651015854218
6112635_3,47.3679081783657,8.5161787062357,480.816788261756,0.293836171352279
6112635_4,47.3678860601478,8.51613228999639,481.062893385999,0.301480932422849
6112693_0,47.369038535175,8.51460271702848,474.676381982863,0.305931418733297
6112693_1,47.3691528370522,8.51445478292459,474.066228259355,0.432747460469691
6112693_2,47.3693692719267,8.51417704524843,472.550934771076,0.828743345606682
6112694_0,47.3689653323411,8.51469745866555,475.066480429843,0.263410688562273
6112694_1,47.3690005498197,8.51465188052307,474.878433064558,0.277263916169837
6112688_1,47.3679033798997,8.51604499029947,481.001935284585,0.304312438066036
6112688_2,47.3679389975662,8.51601155001897,480.900874689221,0.30089457118511
6112688_3,47.3679756824588,8.51597073001942,480.807818682864,0.299141749997578
6112688_4,47.3681040874919,8.51580092258647,480.060649700463,0.282197132292334
6112689_2,47.3686949028761,8.51417448195952,479.900720896199,0.238263220432436
6112689_3,47.3688218056303,8.51437177852167,478.062187120318,0.26952948388582
6112689_4,47.3689663075171,8.51459751353133,474.993578233756,0.286617724021574
6112692_1,47.3681493055553,8.51574112927851,479.796590187587,0.27382200897806
6112692_2,47.3683718426338,8.51545758050709,478.58228650596,0.214443613680745
