nodeId	coords	edges
6104811_9	[47.37382723085001, 8.551971430974113, 493.44608856365085]	['4862311_4', '4869066_7', '6104899_1']
6112700_0	[47.374975391674866, 8.513928040062956, 460.83535383455455]	['4869049_0', '6112698_4', '4858953_4']
4859149_4	[47.368056936817126, 8.553991849337176, 473.84030797239393]	['4860949_2', '4859149_0', '4860978_0']
4861350_3	[47.37794635344689, 8.528037112673488, 456.91531020309776]	['4862269_0', '4858271_0', '4860396_0']
4861813_0	[47.382434238141144, 8.53164242262425, 453.2788024749607]	['4861688_2', '4861813_3', '4858238_3']
4861813_3	[47.38179255314177, 8.531040228200439, 453.44510741438717]	['4861813_0', '4865350_0', '4860372_0', '4858238_0']
4866209_0	[47.3650422223296, 8.531280573795785, 458.52417804300785]	['6245801_4', '4866209_2', '4859455_10']
6245721_5	[47.367640656440784, 8.547895905364143, 467.43456193991005]	['6104375_3', '6104538_0', '6245740_5']
4859186_2	[47.37270918881737, 8.525229347169805, 459.52199219260365]	['6114785_1', '4865799_2', '4869800_7', '4858966_0']
6245080_1	[47.37651835076352, 8.548734705523955, 501.2692357385531]	['4868912_1', '6245081_2', '4869678_0']
6114964_0	[47.37331376387434, 8.527768739977164, 458.3808383066207]	['4862499_2', '4859173_6', '4858499_5']
4865065_2	[47.38764695048717, 8.553593101599375, 633.9318743161857]	['4857665_29', '4863941_8', '6389320_8', '6125378_0']
4869812_4	[47.37159128662194, 8.515900136170501, 463.42332665249705]	['4864821_2', '6112697_0', '4858515_3', '4862503_2']
6127544_4	[47.384500770076286, 8.547794292257098, 530.5450567472726]	['6166564_2', '4861359_0', '4859284_9', '4858560_1']
6104362_0	[47.36386686939074, 8.549085896337573, 455.63233650289476]	['4859439_0', '6245695_1', '6245650_0']
6244865_2	[47.37191816018219, 8.5335406599328, 458.9057204341516]	['6244865_1', '6244866_0', '6244866_0', '4865971_5']
6244865_1	[47.37187492948233, 8.533531166025405, 459.1938443435356]	['6244865_2', '4865971_5', '6244863_0', '4862307_1']
4869836_28	[47.38459857159016, 8.54882636356203, 536.0047567021102]	['4869835_0', '4869836_0', '4869836_0']
4861683_8	[47.38540543562554, 8.517295318557348, 461.5423601102084]	['4861683_9', '6265805_3', '4861683_1', '6265807_4']
4861683_9	[47.38573516310945, 8.517622594986763, 460.22515806835145]	['4861683_8', '4857820_1', '6234895_1']
4861683_0	[47.38350991871775, 8.515432388368858, 462.2962510660291]	['4861683_1', '4865217_10', '4869281_1']
4861683_1	[47.38352483097156, 8.515447045816812, 462.38819685857743]	['4861683_0', '4861683_8', '6234894_10', '6234898_11']
4860978_3	[47.36666705872356, 8.553477050670352, 472.44650213140994]	['4860978_0', '6104543_1', '6102176_0']
4858565_3	[47.38462209162112, 8.527763757540958, 452.3929120423272]	['4857997_1', '4858565_0', '4868707_4', '4858556_0']
4858565_0	[47.38390515397544, 8.527242561011137, 452.4003348024562]	['4858565_3', '4859289_5', '4858556_0']
4868311_9	[47.37019048372668, 8.518537597362345, 462.1143821012229]	['4862100_4', '4864574_1', '4864839_10']
4864596_5	[47.368268961513856, 8.517378865960607, 473.2016283720732]	['4864596_0', '6244262_0', '6112634_0']
4864596_0	[47.36765377603947, 8.51799930346637, 480.29763177223504]	['4864596_5', '6118002_0', '4866609_0']
4860288_7	[47.38987860744334, 8.550872059116683, 589.3987095532939]	['4861275_6', '6125356_0', '6125186_5']
6115770_3	[47.3719743821852, 8.540338245247154, 463.5447236513719]	['4861934_0', '6115769_5', '6245439_5']
4858580_3	[47.382188264321606, 8.544885895509829, 501.1741121914238]	['4861811_2', '4869292_0', '4869286_15']
5929980_9	[47.38674817327552, 8.533294069288992, 454.52371647953987]	['5929980_0', '5929981_0', '4865214_0']
4864582_0	[47.36855381826459, 8.550804701815473, 471.52921208087355]	['6104803_7', '6104673_0', '4864582_3']
6113594_1	[47.36398033880573, 8.528578454785455, 466.0607049455866]	['4857464_0', '6114023_0', '6114124_0']
6114023_0	[47.36402997886003, 8.528714375868827, 465.4164369376376]	['6113594_1', '6114166_0', '6114023_18']
4869319_0	[47.37917224525078, 8.522283859931777, 455.9178513502702]	['4869319_3', '4865763_2', '4863772_5']
4869319_3	[47.379655101921564, 8.521455370042869, 456.91640599351376]	['4858114_0', '4869319_0', '6144231_0']
4865543_3	[47.374636587137914, 8.53041663711052, 457.87067402526736]	['4858192_0', '4865543_0', '4865553_1']
4865543_0	[47.37425375893403, 8.529787490235833, 458.1043200781569]	['4865543_3', '4865553_0', '4865541_1']
4862470_0	[47.36857723354145, 8.534223195359077, 456.9588687615469]	['4862471_2', '4857351_2', '4857445_0', '4864593_4']
6114320_2	[47.369107152307095, 8.52805260625456, 460.56967922858894]	['6114321_1', '6111879_1', '6114322_1']
6244944_0	[47.37782684283056, 8.53578720099971, 456.16082517709583]	['6245164_0', '6265713_2', '6246045_0']
