nodeId	coords	edges
4868636_4	[47.38672974253691, 8.523165502576141, 451.4389539239928]	['6166972_1', '4868636_0', '4856975_6']
4861644_0	[47.376652945862226, 8.550446926371173, 504.6701518688351]	['4858938_0']
6115193_1	[47.37226822634746, 8.52664956766628, 459.0987301133573]	['6116898_5', '6246299_7', '4862500_0']
4861821_8	[47.38097252486274, 8.538116133807655, 454.0201534470543]	['4863981_15', '4865233_0', '4860382_9']
4859157_0	[47.36687033800755, 8.545730143677439, 456.07178346812725]	['4859157_1', '6117725_6', '6114413_10']
4858371_2	[47.37343164405313, 8.543686694367826, 457.88449342083186]	['4858496_0', '4858371_0', '4865992_2']
4865967_1	[47.37224316634913, 8.536752930433217, 457.50362543947995]	['4862308_2']
4862712_8	[47.36356362050393, 8.535126580609052, 455.4312132699415]	['4868020_4', '6240872_0', '4868018_1']
4865986_1	[47.37468323931673, 8.53776896553013, 457.3371469704434]	['4862313_0', '4861928_1', '4861921_1', '4865546_11']
4862097_2	[47.37039091063949, 8.514577647407883, 466.1928302384913]	['6048814_1', '4862095_1', '4868316_0']
4858179_0	[47.37649830092275, 8.511612923772569, 460.1396480407566]	['6048896_4', '4858179_4', '4861929_3', '4861349_0']
4858179_4	[47.377252227465675, 8.512693914442385, 459.53956747148186]	['4861374_7', '4861349_0', '4858179_0', '4862275_2']
4862298_0	[47.37448703659559, 8.539935481314407, 456.8094829833135]	['4862299_2', '6116928_3', '6116903_5']
4862298_3	[47.37443257613048, 8.541461783555839, 456.2250886950642]	['6115564_1', '4862299_2', '6115560_0']
6112627_6	[47.36868553691034, 8.519058543043592, 462.37883882038295]	['6112615_2', '6112614_0', '6112614_2']
6115768_0	[47.3717662909288, 8.540919713732945, 461.94968794472516]	['6115769_0', '6115768_5', '6115769_5']
4868735_3	[47.38191413086554, 8.529206264674942, 453.2426310284063]	['6149976_0', '6234039_0', '4865742_0']
6246069_0	[47.37370413593037, 8.519620678372826, 460.18099883012474]	['4862316_0', '4865550_7', '6246067_0']
6388665_0	[47.36893879071443, 8.549252937211484, 474.90276037715375]	['4859218_0', '6388665_5', '4865940_3']
6051584_0	[47.38088635100601, 8.511674463428294, 456.03597080148757]	['4868871_3', '6233976_2', '6388232_0']
4868894_9	[47.37685037870672, 8.52063166899304, 457.6596574187279]	['4865390_0', '6115125_0', '4858763_0']
6117847_7	[47.37763513820792, 8.543083515350805, 456.4939802996814]	['4858924_3', '6115689_4', '4861354_8']
6052817_13	[47.36311475451062, 8.517151975536136, 472.4904837179929]	['6052816_7']
4858176_3	[47.37685699783604, 8.52601021877114, 457.51823210529983]	['4865774_1', '4858176_0', '4861373_3']
4858176_0	[47.37727083027946, 8.525233057280452, 456.96791855990887]	['4865198_1', '4858937_0', '4858176_3']
4861646_2	[47.37595746625726, 8.54402260764521, 455.10647259745747]	['4861646_0', '4865393_0', '4858190_0']
4865742_0	[47.38014670877922, 8.52797780266041, 455.1225458653644]	['4861838_4', '4865748_2', '4868735_3']
4859476_29	[47.363443459666215, 8.522447914883218, 465.32229132950306]	['4741711_29']
4857968_3	[47.3883687662192, 8.536343467204077, 477.2573538227007]	['4867355_0', '6127714_10', '4863752_0']
4865574_0	[47.37282364646279, 8.52584508313021, 459.36707008536905]	['6114785_1', '4865574_6', '6114784_7']
4865574_6	[47.373140829094794, 8.52765542490076, 458.5204098103568]	['4858499_5', '4865574_0', '4869541_10']
6240626_1	[47.37532584575544, 8.517905925342795, 459.51843090355396]	['4862300_0', '6240622_1', '6240624_1']
4866617_1	[47.36703776340226, 8.543892112493957, 457.33519472554326]	['6117537_3', '6245314_0', '6117603_0', '4866174_0']
6114413_10	[47.36678867909822, 8.545746136682903, 455.88698321022093]	['6117654_1', '4858800_1', '4859157_0', '4866215_11']
4868001_5	[47.366768726451575, 8.518082844220519, 485.67888813465834]	['4862666_2', '4858801_1', '4866609_0']
4863941_0	[47.38628051135171, 8.556204985600395, 647.8888559015468]	['4863941_8']
6115955_0	[47.37150345565438, 8.536369655882972, 456.9519680738449]	['4869547_7', '6115954_0', '6115956_7', '6115953_0']
4859204_2	[47.370360411639325, 8.553138535282656, 474.53507911320776]	['4864816_0', '4862521_0', '6388678_6']
6245248_2	[47.373953124663984, 8.553143452666927, 493.88357236236334]	['6245248_0', '4859165_0', '4861949_3']
6106196_3	[47.370032220170316, 8.545747939790523, 476.063405434601]	['4864828_10']
4862541_7	[47.369616565753425, 8.533677359368578, 458.1536700408906]	['6115843_0', '4859140_6', '4860950_2']
4859063_4	[47.369151454879045, 8.527894970028873, 460.7687206864357]	['6114321_1', '4859063_0', '6114325_0']
4859063_0	[47.369445029947215, 8.526247093227191, 461.47860223054886]	['4862538_0', '4859063_4', '6111881_0']
4861632_1	[47.38638230595938, 8.535179568970957, 467.77178722340614]	['4856979_0', '6131189_0', '4863942_4', '6131191_0']
6128138_5	[47.3836286452902, 8.54445445044332, 507.18973391409963]	['6128138_0', '6127414_0', '4865202_7']
6128138_0	[47.3834445815824, 8.54336059736504, 491.0983240092173]	['6128134_0', '6128136_0', '6128138_5']
6103984_0	[47.36378681869367, 8.552348701492742, 462.4232543744147]	['6103981_5', '4866218_0', '4866218_3']
4862277_4	[47.37621072025743, 8.52249651840918, 458.252475659363]	['4858929_0', '6113042_2', '4865390_4']
4858189_7	[47.37588648670547, 8.540968135062037, 455.9797396911308]	['6115270_7', '4858189_0', '4869517_0']
4865231_2	[47.38197607516733, 8.548155433125327, 526.8893764195964]	['6128133_5', '4858248_0', '6125412_2']
4869819_0	[47.371281780844924, 8.525625508447833, 460.0063695628196]	['4859216_4', '4867990_0', '4869552_0']
6166641_15	[47.38052045148888, 8.544780868776684, 491.57863286789507]	['6166643_3', '6234213_5', '4861835_5']
4858534_18	[47.37006112048895, 8.534240535838736, 458.25092723127455]	['4868308_6', '4858534_0', '6115843_0']
4865532_0	[47.3722759447651, 8.511746627178738, 464.00368644762784]	['4858509_5', '4869078_0', '4858508_6']
4865978_3	[47.374184650015856, 8.544433894340294, 459.0757480273023]	['6105036_4', '4865548_0', '6388312_0']
6166533_3	[47.385631836628725, 8.52270257859559, 451.8323271740228]	['6159815_5', '6166530_0', '6166531_5']
4861355_7	[47.386083912551385, 8.533690389509228, 462.77407678589225]	['4861355_8', '4861355_2', '4865226_0', '5929981_0']
4861355_2	[47.385591359924256, 8.533014886177934, 460.5900612222031]	['4867598_0', '4861355_7', '4858566_0', '4859278_0']
6114335_2	[47.369043825545326, 8.529044886251961, 460.8078481582925]	['6114338_2', '6114341_2', '6114343_15']
6115968_0	[47.37316531811569, 8.536865307672935, 457.5300729703158]	['4865570_4', '4858501_0', '4862313_5']
4856956_7	[47.38969903873185, 8.54365537854976, 523.2404632112011]	['6234434_1', '4857969_4', '4857963_6']
4857435_0	[47.36822996405206, 8.546824104865088, 462.8480852842331]	['4860961_0', '4857435_9', '6104670_0']
4869049_0	[47.37451390550412, 8.51462621987157, 461.0928738443181]	['6112710_2', '6112700_0', '4869049_3', '6049122_0']
4869049_3	[47.37501748794053, 8.515511212287178, 460.24565248936415]	['6112698_4', '4869049_0', '6112703_4', '6388266_0']
6115841_3	[47.369981052265175, 8.53927583433848, 456.8070661984384]	['4862103_0', '4868307_10', '4858531_0']
6244908_0	[47.37593000173867, 8.535567689643218, 456.07706566993147]	['4861924_0', '4869516_0', '6115916_2']
4861352_9	[47.37715207284102, 8.547287795802209, 499.2520186956972]	['4867595_6', '6245073_0', '4861352_0']
4859184_1	[47.37229980732695, 8.543835268576471, 462.95033740997314]	['4859184_0', '4858964_0', '6245478_0']
4859184_0	[47.372599784241736, 8.543766037367568, 461.2186137884855]	['4859184_1', '6106304_0', '4859179_0']
4858497_0	[47.374243729528615, 8.549078162007364, 496.143906859681]	['4858497_8', '4865398_3', '6106816_14']
4869516_0	[47.376066745746364, 8.53573920597345, 456.31653109937906]	['4868908_0', '6244908_0', '6244911_4']
4869502_0	[47.37679286822696, 8.528728661227124, 456.95666706282645]	['4868907_3', '4865391_0', '4865391_3']
4864778_6	[47.38993712644106, 8.536295844736346, 486.36324713844806]	['4861473_1', '4867355_0', '4863748_4']
6233953_0	[47.3893641778571, 8.5129966198379, 455.7191896652803]	['6037039_2', '6037039_4', '6037040_10']
4869818_8	[47.371584290067375, 8.517551401336688, 462.2246862621978]	['6112697_0', '4858968_0', '4865579_3']
6105035_0	[47.373078795360605, 8.547411563213975, 468.82366984989494]	['6105035_8', '6245254_5', '6106816_14']
6105035_8	[47.373956964701584, 8.546721031449518, 469.39504355285317]	['4869051_0', '6105035_0', '4865980_3']
4869810_0	[47.37148701063137, 8.521143293156433, 460.72033378575]	['4869087_0', '4862087_0', '4869806_0', '4859190_2']
6125356_14	[47.388920441310376, 8.550476000596996, 582.2326471665874]	['6125356_0']
6127542_7	[47.38560077150422, 8.548454601885787, 534.619478052482]	['6127541_5', '4869834_5', '4867586_12', '4865191_0']
6244863_0	[47.37032879487317, 8.534646893417493, 458.0988100729883]	['4859198_0', '6117278_1', '6244865_1']
6244322_3	[47.36715364171798, 8.531084954749462, 470.4257928850129]	['6244318_9', '6244318_1', '4869776_5', '6244349_12']
6104671_0	[47.365503679658744, 8.552283415215141, 471.4737825766206]	['4862677_0', '6103979_7', '6104672_0', '4864636_0']
6114142_0	[47.36301823610914, 8.527433399503998, 467.8634003009647]	['6113593_0']
4865718_1	[47.36596656618932, 8.539968827273, 455.54098216909915]	['4865718_0', '6244399_0', '4865718_0', '6114408_2']
4865718_0	[47.36599405118446, 8.540024007809542, 455.5498538892716]	['4865718_1', '6114408_2', '4865718_1']
6052813_0	[47.363372552641145, 8.514089916606371, 476.0528784953058]	['6052816_7']
6128225_3	[47.38658367211855, 8.54633351152464, 525.873014530167]	['6128225_0', '6128221_0', '6128239_0']
6128225_0	[47.38654949412983, 8.546138738385478, 523.0183014534414]	['6128239_0', '6128225_3', '4857987_0']
4858192_0	[47.37508002482011, 8.52985972475729, 457.6520612491295]	['4865541_1', '4865543_3', '4862286_0', '4858950_1']
4864605_3	[47.36662335183094, 8.541525380359802, 456.19667676091194]	['6114412_5', '4857449_3', '4866174_0']
4861919_2	[47.375342645462155, 8.522468928093808, 458.848800489679]	['6114962_10', '4865399_1', '4865406_0']
6166596_4	[47.3826799450882, 8.534227431427963, 453.2315497249365]	['6159506_1', '4865223_3', '4858585_0']
4861001_3	[47.36539708965528, 8.538819860491621, 455.3016456188634]	['4861007_1', '4857352_1', '6244399_0']
6106294_1	[47.36916584580624, 8.543938429354682, 455.25352141447365]	['4867950_0', '6388659_2', '6106295_8']
6128385_3	[47.386993679573365, 8.546438662017648, 530.7218226781115]	['4857973_0', '6128389_0', '6128385_0']
6246322_0	[47.36346313046513, 8.533470253561859, 456.0291471844539]	['4857496_0', '4866222_0', '4861026_0']
4865750_2	[47.38002584430518, 8.51817435123003, 456.1027216594666]	['6388209_5', '4860394_0', '4861826_0']
6115560_10	[47.3754267883796, 8.54081741038291, 456.11110787745565]	['6116903_5', '6115560_0', '4858189_0']
6244907_5	[47.37556109688646, 8.535044090509835, 455.8365690978244]	['4861924_0', '6244907_0', '6244911_0']
6244907_0	[47.37580132413259, 8.535336591300567, 452.51163889374584]	['6244907_5']
4869313_0	[47.37968640600939, 8.553173910551637, 555.6843723859638]	['4865743_5', '6234220_0', '6166649_6']
4862267_0	[47.378824656296054, 8.549407960850916, 514.3664537286386]	['6388500_4', '6388503_0', '4862263_5']
6388303_6	[47.37456114117629, 8.544641769243714, 460.08854241576046]	['6105036_4', '4865405_0', '4865540_2']
4869540_1	[47.37444889614607, 8.535076161642841, 456.7154794288799]	['6227712_4', '6227712_4', '6115919_8', '6227667_0']
6132181_2	[47.38593151879556, 8.524882609343221, 451.8533418076113]	['6159775_0', '6166537_0', '4856976_4', '4861357_0']
4865545_0	[47.37425110889075, 8.52502745767264, 458.41711593978107]	['4858495_0', '4869055_3', '4858088_0', '6388270_0']
4861844_0	[47.380005448785994, 8.520750530578539, 456.9861869867891]	['4865359_0', '6166781_0', '4858114_0', '4868741_6']
6132174_5	[47.38623350322406, 8.518219343736886, 450.76423868723214]	['4861348_0', '6265807_5', '6234836_0']
4860376_5	[47.38113489213775, 8.539988368284336, 452.739837304689]	['6159879_7', '6159880_3', '6159886_5']
6117537_3	[47.36700891664455, 8.543903297999327, 457.1052597053349]	['4866617_1', '6114410_3', '6117726_5', '6117531_10']
4865016_0	[47.377055887317916, 8.5219440911521, 457.3357943594456]	['4865195_3', '4858929_0', '4865390_4', '4869500_0']
6481151_0	[47.388127790529495, 8.519967556534333, 450.6374645344913]	['4857983_4', '6132172_0', '4863763_0', '6481149_0']
4865057_0	[47.38944503048718, 8.5214426472433, 450.4864925900474]	['4868620_5', '4857975_2', '6389347_0']
4859212_0	[47.37002175902924, 8.531291526883656, 461.06200063973665]	['4859212_2', '4862112_2', '4869824_0']
4859212_2	[47.36964846789014, 8.53180630136935, 460.93946962896734]	['4862109_0', '4859212_0', '4866238_4', '4869458_0']
4862263_0	[47.378797111234405, 8.54811548400125, 507.2338306279853]	['4862263_5', '6388503_0', '4868884_0']
4857352_1	[47.36646908183908, 8.538019725102288, 455.6356180617586]	['4864622_2', '4866177_7', '4861001_3']
4858113_5	[47.379562635896235, 8.537510061855306, 455.18249588273466]	['6150053_0', '4858113_0', '4860382_9', '6150052_1']
4858113_0	[47.37973441333064, 8.53674551508661, 454.26181134209037]	['4858597_1', '4858113_5', '6246045_0', '4860380_0']
6235139_1	[47.38600759708826, 8.518135967099235, 451.09092079568654]	['6132173_0', '6132173_3', '6265807_4', '6234898_11']
4858274_0	[47.378216278112355, 8.526250795760944, 456.67439274769276]	['4865761_0', '4863770_0', '4858274_2']
6114957_0	[47.37449617364268, 8.521367354546278, 459.3491476448253]	['6240728_0', '6114957_3', '6114957_3']
6114957_3	[47.37466908411318, 8.520635453423008, 459.45242581143975]	['4858202_0', '6114957_0', '6240730_0', '6114957_0']
6103933_22	[47.36225666275039, 8.547177283538375, 455.0915179392323]	['6103933_0']
4859470_8	[47.364148252030176, 8.511611970763102, 482.4963163295761]	['6052816_0', '4866187_0', '4859470_0']
4859470_0	[47.36346386038944, 8.509652050103162, 487.98109322600067]	['4859470_8']
4869079_3	[47.370865402422346, 8.554581300997139, 482.14528686739504]	['4864816_2', '4859194_0', '6102767_1', '4866015_4']
4741825_73	[47.352563908916494, 8.524994407921291, 478.88747394736856]	['4741825_6']
4857446_6	[47.36789519241282, 8.546112739880448, 459.3236880376935]	['6104669_1', '6388662_10', '4857446_0']
4862284_2	[47.37552396173899, 8.54457173130297, 459.8770658224821]	['4858943_0', '4862281_5', '4865403_1']
6127899_1	[47.378851081977835, 8.544268477292691, 470.9485677750781]	['6127898_7', '4860393_0', '6127901_3']
6114410_3	[47.366984774013716, 8.5439126480329, 457.1703141015023]	['6117537_3', '6103933_0', '6117538_6', '6114411_9']
4868308_6	[47.370086275486734, 8.534278006894755, 458.2658229675144]	['4858534_18', '4858533_1', '4864573_0']
4861628_4	[47.387013881703844, 8.542577177919126, 510.68766220565885]	['4861474_0', '4861449_0', '6128216_6', '4870872_5']
4866238_4	[47.37026142809661, 8.53256558122792, 459.96508412156254]	['4862109_1', '4869824_0', '4859212_2']
4867952_0	[47.36897255666547, 8.525004636949605, 461.23410151619464]	['5948802_20', '6111881_0', '4859216_0']
6132178_11	[47.386075445549764, 8.52144232118357, 451.37041893880814]	['6159817_1', '6131908_0', '6132178_0']
4867324_0	[47.37774941951444, 8.544801454240073, 479.90894572250545]	['6115696_13', '4863778_0', '6115696_13']
6127780_4	[47.38577280261205, 8.53805102701361, 477.8785095391795]	['6127659_0', '6127819_2', '6127824_0']
6051552_0	[47.38124564013906, 8.511887889540581, 456.17480531334877]	['6051552_7', '6051552_7', '6233979_0']
6051552_7	[47.38188694791605, 8.512123984100977, 453.5908703142777]	['6051552_0', '6051552_0', '6051554_3']
4869039_2	[47.37501377108803, 8.524676807408754, 458.59945067204535]	['4865788_2', '4858948_0', '4858960_7']
6114166_0	[47.364228979895216, 8.529358954609947, 463.18526216223836]	['6114023_0', '6245830_12', '4866363_11']
6104541_6	[47.37003097914291, 8.548971957757153, 470.7141559617594]	['4862540_7', '6104539_0', '4859218_1']
6103554_1	[47.364710646726365, 8.554358875161746, 472.3957828497514]	['6103553_1', '6103978_0', '6103979_0']
4857486_5	[47.36430457721471, 8.546170630371867, 455.28612132743]	['4866215_11', '4866360_0', '4857486_0']
6118002_10	[47.36770859906689, 8.518609082920653, 472.4468740168959]	['6118002_0', '6112614_2', '6118006_12']
4860373_0	[47.380913961641994, 8.533840335405529, 453.59161467663944]	['4861815_0', '4865355_2', '4858250_3']
4861021_3	[47.36444832107745, 8.536929091361266, 455.2580588841811]	['4864648_0', '4860991_1', '4868017_0']
6159506_1	[47.38264946135156, 8.53426722555076, 453.25659036822617]	['4858584_1', '6166596_4', '4861687_2']
6388633_0	[47.37481803560024, 8.534492262671545, 456.57109083049]	['4858194_0', '6115922_7', '4861924_0']
4858236_4	[47.38359152347304, 8.536441736888534, 453.34590641595423]	['4858566_0', '6159661_8', '6159504_0']
4866231_4	[47.37017896060772, 8.521059646348984, 460.81987773254514]	['4866231_0', '4862087_0', '6112503_0']
4866231_0	[47.37034535249466, 8.52139402691056, 460.9391014967114]	['4869087_0', '6114379_4', '4866231_4']
4868307_10	[47.36959633422497, 8.539384702109393, 456.5819738507271]	['4859211_0', '6115841_3', '6388653_0', '6388656_5']
6128134_0	[47.38332950146929, 8.543393178284312, 490.96459584496915]	['4869286_15', '6128138_0', '6128134_5']
4861820_10	[47.381048949729426, 8.531960927433381, 453.45414930861443]	['4865350_0', '4858250_3', '4860372_0']
6117209_14	[47.36664637779558, 8.531533722997057, 457.54268227517605]	['6108948_3', '6117181_1', '4864633_3']
6244352_0	[47.366791706021594, 8.531597419131895, 465.3072339128703]	['6244351_2', '6244351_4', '6244349_12', '4869776_5']
6116928_3	[47.374502653374144, 8.539619114345093, 457.01876049209386]	['4862298_0', '6116926_5', '4861947_3']
6245474_7	[47.37215612263958, 8.544412977974089, 466.28913487214595]	['6245478_0', '4865964_0', '4858964_2', '4858964_0']
4857993_0	[47.38491837708645, 8.547833756196084, 530.4999112151563]	['4860532_3', '4861359_0', '6127541_5']
6113038_0	[47.37492699383163, 8.516840588882777, 460.1315566096455]	['4861950_2', '6113039_0', '6113040_3']
6245091_0	[47.37522738353773, 8.552856269228725, 502.386491490528]	['6104810_0', '4858954_0', '6245093_1']
4864618_1	[47.36394167284277, 8.531403756030961, 456.89296319615096]	['4860989_0', '6240880_0', '4864670_0']
4859427_10	[47.36708749462487, 8.510794610966387, 475.9303654935211]	['4859427_0']
4862281_5	[47.3757057559213, 8.545184169524427, 463.31196723040193]	['4862284_2', '4865403_0', '4862278_0']
4859439_3	[47.36433965953327, 8.550058187778694, 457.76810560096055]	['4857485_1', '4857467_0', '4859439_0']
4868719_0	[47.38341117249088, 8.533249597913667, 452.98259812034667]	['4869273_0', '4865223_3', '4859282_0', '4858572_0']
6244873_3	[47.37278864157806, 8.533775934858141, 458.89018095098436]	['6388279_0', '6388298_0', '6244868_1']
4860394_3	[47.37912153443152, 8.518425414610922, 456.9548632632941]	['4865375_0', '4860394_0', '4858115_0', '6166781_0']
4860394_0	[47.37963593612831, 8.518946422542319, 456.1129781063646]	['4860388_3', '4865750_2', '4860394_3']
4865205_1	[47.38441622908592, 8.531888460185403, 452.5263069393113]	['4859282_2', '4861678_12', '4867598_0']
4865761_0	[47.37823593503152, 8.526213229651361, 456.65337850525975]	['4858274_0', '4858155_2', '4865761_2']
4865761_2	[47.3786467161465, 8.5266794986318, 456.4388222824782]	['4860396_0', '4865761_0', '4858146_0']
4865390_0	[47.37686793660529, 8.52064614133872, 457.51459640823305]	['4869500_0', '4868894_9', '4865390_4']
6128215_0	[47.38677957277722, 8.544963225687837, 519.3938774364069]	['4857987_3', '6128164_5', '4861618_4']
4751007_23	[47.3905199160932, 8.543496209725504, 487.9244490349665]	['6128358_12', '4751007_18', '4751007_54', '6234434_1']
6131227_0	[47.38868209715721, 8.535729768768192, 476.33414181880653]	['4856962_11', '6127714_10', '6131235_6']
4866356_13	[47.362804111054544, 8.53698036798561, 455.0763529865071]	['4866356_0']
5967192_0	[47.36666228204314, 8.524391662652807, 464.84982706885785]	['6388837_7', '4751355_3', '6114317_2', '4864607_3']
4868871_3	[47.38053178002582, 8.512568877486945, 456.44901170860976]	['6051584_0', '4869308_0', '4861364_3', '6036742_0']
6245740_5	[47.36759259237944, 8.54776964211095, 464.2528164163232]	['6245741_3', '6104374_0', '6245721_5']
6389796_11	[47.364376385272806, 8.525360872035192, 467.1198955029249]	['6114312_1']
4860532_3	[47.385275439870895, 8.547359081628743, 526.4374445313588]	['4857993_0', '4856931_0', '4858560_0']
4866356_0	[47.36351833997033, 8.536889558308093, 454.94755680300295]	['6114122_9', '4866356_13', '4868021_9']
6227760_5	[47.368804900721734, 8.537367104440799, 454.66509977262467]	['4867954_4', '4867954_5', '6115965_1']
6389320_8	[47.388148670328945, 8.553291906056224, 636.053849581629]	['4865065_2']
4858534_0	[47.37059528640771, 8.532010225392165, 460.34176028799266]	['4869824_0', '6244883_1', '4858534_18']
6166648_7	[47.38129434594047, 8.553008966495737, 554.8502831952646]	['4865739_7', '4863985_4', '6125594_0']
4866002_8	[47.37290211078917, 8.54644764552841, 463.32410958595574]	['4861941_10', '4866002_0', '4861948_1']
4866002_0	[47.3725192305238, 8.545736306942574, 460.83283982332796]	['4861962_3', '6106506_0', '4866002_8']
4861368_28	[47.379208724854884, 8.553935271852689, 557.4918678905815]	['4865743_0', '4865743_5', '4861836_4', '4856932_1']
4858930_0	[47.37764839840276, 8.518636258836995, 457.82855061721057]	['4867589_0', '4869324_0', '4858191_0']
6114340_3	[47.368587781695766, 8.528390193965336, 458.2617129795253]	['6114333_12', '6114334_0', '6114336_1']
4862278_0	[47.37647669003398, 8.544676410569513, 459.2324395272881]	['6117893_6', '4861646_0', '4862281_5']
4858089_0	[47.37467051940682, 8.545865890852834, 465.52601849474013]	['4858087_2', '4865790_3', '4858089_3']
4869045_0	[47.371860512256745, 8.543780376363811, 461.7205546563491]	['4858964_2', '4858965_0', '4858970_0']
4858089_3	[47.37402247793929, 8.5464028473203, 466.31219120696187]	['4865983_0', '4858089_0', '4869051_0']
4867990_0	[47.3707170297211, 8.526640747676355, 460.3408420570195]	['4858545_2', '4869816_0', '4869819_0', '4862538_0']
4858938_0	[47.37602401480533, 8.549973991790614, 501.3542931396514]	['4865773_10', '4861644_0', '4858938_12']
4868917_0	[47.37570311703611, 8.541932611960874, 456.11525267828256]	['6115266_0', '4865795_0', '4858944_1']
6245811_0	[47.36315293535072, 8.517334570583365, 472.1841993117705]	['6112426_0']
4865399_1	[47.37544688485338, 8.522048122627762, 458.65694770310074]	['4861930_4', '4861919_2', '6113042_2']
6132319_3	[47.388608273360234, 8.525709405559972, 451.0854202369228]	['4863757_4', '6246754_1', '6132318_1', '6132318_1']
6128441_0	[47.387018699818846, 8.540916138076724, 496.79432342015207]	['6128441_4', '6128450_5', '6128434_10']
6128441_4	[47.38684252641562, 8.540803319915456, 493.9779036883265]	['6128439_2', '6128441_0', '6128445_0']
4860963_5	[47.3688326523089, 8.523176077364859, 461.2443104721606]	['6114353_0', '6114372_0', '4867965_3']
4861374_7	[47.377298777718494, 8.512755819643033, 459.439382115379]	['4858179_4', '4858183_8', '6036679_4', '4863951_0']
4861933_11	[47.37264293980838, 8.550430866409158, 484.0817760238424]	['6245244_1', '6245263_1', '4869066_7', '4865963_9']
4861678_12	[47.38446854878756, 8.531818569589731, 452.5062387371436]	['4865205_1', '4858558_8', '4858562_1', '4858558_0']
4858967_1	[47.37174530011025, 8.542827498825956, 456.1098201777786]	['4858081_0', '4869074_3', '6174181_2']
6127664_0	[47.385228011886824, 8.536802845277634, 471.06520943250507]	['4751682_0', '6127715_4', '4751681_8']
6127819_0	[47.38545531593092, 8.537716602521515, 476.38868716266006]	['6127819_2', '6127820_0', '6127825_18']
4864809_3	[47.37097629510741, 8.542961739125815, 455.71971865557134]	['4869809_1', '4858527_2', '4859193_0']
4858572_0	[47.38311615333921, 8.532768591252967, 453.02286346256733]	['4868719_0', '4863961_0', '4858576_0']
6246124_6	[47.376964211358285, 8.51648306862662, 459.00052458141]	['4861645_0', '6246124_0', '6114720_1', '4858178_0']
6246124_0	[47.37867698292023, 8.516204623325551, 457.9642709363252]	['4858761_0', '4869324_0', '6246124_6']
6115960_3	[47.371101474126334, 8.535750794931086, 457.1006546597928]	['6115954_0', '6115956_7', '4859198_2', '6115953_0']
4864813_5	[47.37149211445534, 8.550172239530745, 477.13508071377873]	['6245485_1', '6245260_0', '4866016_4', '4859194_0']
4858546_0	[47.36990472871296, 8.54743913658357, 473.25703647267073]	['4857435_9', '4864831_10', '4862540_2']
6116894_7	[47.3724018652905, 8.52735484632592, 458.6456670630723]	['6116632_2', '6116634_5', '6116898_5']
6127713_0	[47.38695910800337, 8.534882554083117, 466.2805586261675]	['6127656_0', '6131187_1', '6131235_6']
6159887_8	[47.38034761679575, 8.54048144761768, 452.8944243462756]	['4858257_0', '4869309_0', '4861822_5']
6114720_1	[47.376009719510265, 8.516546113628975, 459.67898728325963]	['4861645_3', '6114719_9', '6246124_6', '4869530_11']
4869974_3	[47.36665599881461, 8.521809826052113, 462.57043996918947]	['4860984_8', '4866616_2', '4859438_0']
6128409_1	[47.38757132070745, 8.54097305457757, 501.69780244585127]	['6128407_0', '6128414_0', '4867571_0']
6116633_1	[47.371905040263165, 8.528204942949927, 459.22312596440315]	['6116632_2']
4858273_0	[47.37782259567607, 8.551015151262417, 514.17148355674]	['4858273_5', '4858765_0', '6060606_0']
4864622_2	[47.36604963311003, 8.53686339895513, 455.83689208049327]	['4857352_1', '4860991_1', '4857454_0', '4861007_1']
6245403_0	[47.371526049856755, 8.530054428206931, 459.8502672240138]	['4862505_0', '4862306_0', '6115196_0']
4856976_4	[47.38659507688138, 8.525386031043963, 451.56507812347263]	['4856976_0', '4868695_0', '6132181_2']
4856976_0	[47.38728738430141, 8.525869018318344, 451.45375871565193]	['4861619_3', '4868635_6', '4856976_4']
4863771_0	[47.37777482799141, 8.516147695459688, 458.5637160120532]	['4858761_4', '4863771_8', '4858270_0', '6246123_1']
4863771_8	[47.378105641552125, 8.515246752918285, 458.47974528279155]	['4858272_2', '4863771_0', '4858270_0']
6127129_0	[47.39028563816057, 8.552419846988224, 615.957069478929]	['6125194_22']
6234831_2	[47.38668180611126, 8.520264784652568, 451.3399962093681]	['6234830_0', '6131908_0', '6234830_0']
6051548_4	[47.38420940075528, 8.511180420779272, 453.0856673223898]	['6051547_7']
4858937_0	[47.376747737949096, 8.524783223824356, 457.28575527016073]	['4862276_0', '4858176_0', '4868909_0', '4865774_1']
4858248_0	[47.38082098493018, 8.549478321050323, 529.5080992765725]	['4860375_0', '4865231_2', '4858248_10', '4858265_7']
4858267_0	[47.37938662916987, 8.526049164046588, 455.72549782693386]	['4858112_0', '4858267_4', '6265725_1', '4858146_0']
4858267_4	[47.378786206361994, 8.527182683602568, 456.262946925126]	['4861841_1', '4858267_0', '4860396_0']
6114121_0	[47.36263003416809, 8.535588009235008, 455.52321588248014]	['6114122_0']
4869522_0	[47.37587696160497, 8.528869583179105, 457.3719489425421]	['4858950_1', '4865391_3', '6388634_0']
4862313_5	[47.37370608920395, 8.53705087304835, 458.60245549865067]	['4862313_0', '6244933_7', '6115968_0']
4862313_0	[47.37387248277292, 8.538019331285906, 458.53203962091357]	['4858093_4', '4865986_1', '4862313_5']
4857975_0	[47.3878303318987, 8.522613253298656, 450.98959373123944]	['4857975_2', '6159814_1', '6389339_0']
